wk,n,anger,baseline,excess,spike_score,keywords,hashtags,dem_excess,rep_excess,driven_by,example_author,example,event
2016-01-04,2491,0.277,0.166,0.111,2.923,law-abiding raids executive defund repeal obamacare undermine actions planned parenthood,#gunsinamerica #stopgunviolence #obamacare,0.108,0.086,both,Bernard Sanders I-VT,We cannot tolerate an economy and a political system that's been rigged by Wall Street to benefit the wealthiest at everyone else's expense.,Obama gun executive actions; ACA/PP repeal veto
2016-06-20,7976,0.308,0.198,0.11,2.736,cameras sitting-in publicity staging stunt sitting turned sit-in amnesty retweet,#nobillnobreak #stopthestunt #dapa #sitin #nomoresilence,0.137,0.05,Dem,Robert Menendez D-NJ,Applauding #HouseDems for saying #NoMoreSilence. No more senseless gun violence. It’s time to #DisarmHate.,Orlando aftermath: House Democrats' gun sit-in
2016-07-11,6774,0.246,0.16,0.086,2.219,providers france participate longest conscience rouge baton exxon nice month,#lightingtheway #timetocallout #fada #opiods #webofdenial,0.064,0.038,both,Ed Perlmutter D-CO,The Senate's failure to act on #SCOTUS nominee Judge Garland is unacceptable. We need a timely &amp; fair process. #EfficientNominationsAct,Dallas & Baton Rouge police shootings; Nice attack
2017-01-02,4187,0.297,0.228,0.069,1.427,un's increasing ethics anti-israel republicans' destroy costs defund gop's conditions,#reinsact #istandwithpp #emolumentsclause #acaworks #makeamericasickagain,0.042,0.033,both,Bernard Sanders,House Republicans announced today that they will again attempt to defund Planned Parenthood. What an outrage. We need to fight back.,New Congress: ethics-office gutting attempt; ACA repeal starts
2017-01-30,5497,0.365,0.297,0.068,1.476,yates sally solve supreme neil front scotus iran steps rescind,#iran #noban #nobannowall #scotus #refugeeswelcome,0.059,0.036,both,Rob Portman R-OH,Sickening. Thank you to our law enforcement for bringing this criminal to justice. https://t.co/WRjok2OT25 #EndHumanTrafficking,Travel ban; Sally Yates fired; Gorsuch nominated
2017-03-20,6072,0.383,0.306,0.077,1.619,wreck county- backroom monstrosity maternity art includes residents increases district,#killthebill #istandwithpp #comeyhearing #trumpcare #paymoreforless,0.1,0.014,Dem,Cory A. Booker,Outrageous that Republicans passed this passed today. We should not be forced to allow our personal information to be sold. https://t.co/eFvnIPhynR,AHCA 'Trumpcare' pulled; Comey hearing
2017-07-24,6846,0.341,0.277,0.065,1.231,skinny congress’s proceed arm rigged fooled healthy prescription iran servicemembers,#skinnyrepeal #saveaca #abetterdeal #killthebill #transgender,0.088,0.039,Dem,Chris Van Hollen,What a con game. President Trump is trying to appease Putin by hoodwinking the American people.  We won't fall for it. https://t.co/Cm0clqR2Nn,'Skinny repeal' fails; trans military ban
2017-08-14,5271,0.32,0.25,0.07,1.376,spain steve bannon's censure alt-right statues neo-nazis bannon supremacists kkk,#bannonout #barcelona #censure #censuretrump #charlottesville,0.058,0.046,both,Karen Bass D-CA,"Today Trump finally “condemned"" evil racism, shortly after mentioning he might pardon an evil racist. https://t.co/crYbqY5gXp",Charlottesville aftermath; Bannon out
2017-11-27,4875,0.377,0.285,0.091,2.079,flynn native lying trumptax guilty training passes michael senators director,#taxdebate #goptaxplan #goptaxscam #goptaxbill #taxreform,0.112,-0.001,Dem,Sheldon Whitehouse D-RI,"The TrumpTax bill is shameful on so many levels, but the parts attacking students are particularly awful. Why in the world would we raise taxes on grad students? Oh, right--billionaires need their tax cuts. Give me a bre",Flynn pleads guilty; Senate passes tax bill
2017-12-18,4794,0.365,0.297,0.068,1.548,holidays christmas rushed windfall households richest billionaire town giveaway voting,#taxcutsandjobsact #dreamactnow #dreamact #goptaxscam #taxreform,0.127,-0.018,Dem,Elizabeth Warren,GOP donors are popping champagne over the #GOPTaxScam tonight. It’s shameful – and people are right to be angry. To everyone who made their voices heard: Thank you. Stay in this fight – we need you. https://t.co/IGI03EuZ,Tax Cuts and Jobs Act signed; DREAM Act push
2018-01-15,6143,0.411,0.294,0.117,2.601,opi controversial shutting shut unrelated chuck inauguration schumer controls shutdown,#censuretrump #mlkday #trumpshutdown #shutdown #schumershutdown,0.101,0.19,Rep,Dwight Evans D-PA,"SHAME on R's in House &amp; Senate, &amp; Trump Admin! The #GOPshutdown is officially here and in full effect. This is wrong, unjust, and no way to run our government. It's time to come together &amp; discuss critical is",GOVERNMENT SHUTDOWN (Jan 20–22)
2018-06-18,6777,0.394,0.309,0.085,2.102,whove father's internment locked goodlatte dads council cages indefinitely indefinite,#famliesbelongtogether #wherearethegirls #worldrefugeeday #keepfamilestogether #familyseparation,0.102,0.038,Dem,Barbara Lee D-CA,I’ve noticed this too. People across the country are *rightly* outraged by the inhumanity on display from the Trump Administration.  #StopFamilySeparation #KeepFamiliesTogether https://t.co/Uo2arlEGkH,Family separation at the border
2018-07-16,6478,0.388,0.309,0.079,1.853,findings putin's adversary weakness putin’s performance helsinki sided stage intelligence,#trumpputin #helsinki #standwithice #trumpputinsummit #helsinkisummit,0.069,0.076,both,Robert Menendez D-NJ,Outrageous that Russian prosecutors would seek to question a former US ambassador. We've heard nothing from the administration on this. Trump is more inclined to take Putin at his word than support Americans who've serve,Helsinki: Trump sides with Putin
2018-12-17,5529,0.389,0.302,0.088,2.013,sentencing midnight mattis stocks christmas syria holidays shuts holiday resignation,#firststepact #healthcare #protectourcare #goptaxscam #trumpshutdown,0.099,0.037,Dem,Ro Khanna,@thepeoplesview @mattfwood @amyklobuchar @FrankPallone Yes fair point. I am not arguing the substance of the bill. I am appalled by the tactics and giving folks an insight into the type of petty politics that prevent us ,Mattis resigns; GOVERNMENT SHUTDOWN begins (Dec 22)
2019-01-07,9066,0.441,0.302,0.139,3.322,fema oval inspections hud withhold withheld longest drags officially mortgages,#trumpaddress #presidentialaddress #stoptheshutdown #shutdownstory #secureourborder,0.154,0.065,Dem,Richard Blumenthal D-CT,Thank you @NATCA &amp; others for speaking out against this #shutdown that is hurting hardworking Americans. Pay stubs reading zero dollars were distributed to air traffic controllers this morning—unfair &amp; unacceptab,35-day shutdown peak; Trump Oval Office address
2019-09-23,9105,0.371,0.298,0.073,2.046,maguire eugene scalia formal complaint memo smoking declaration dni notes,#muslimban #globalgagrule #nativewomensequalpay #whistleblowercomplaint #impeachtrump,0.075,0.052,both,Mike Levin D-CA,"Trump’s threat to withhold federal highway funding from California is outrageous. Democrats and Republicans have worked together to improve our air quality, and this is just another partisan, vindictive attack on our sta",Whistleblower complaint; impeachment inquiry opens
2020-06-01,9774,0.39,0.304,0.086,2.548,rod rosenstein mattis bishop tiananmen photo-op curfew photo bible bunker,#wearorange #savelivesnow #georgefloyd’s #sayhername #blacklivesmatter,0.125,0.039,Dem,Deb Haaland D-NM,This is an intolerable use of force on peaceful protestors who wanted to combat police brutality. President Trump’s actions just make things worse. Thank you @HomelandDems for investigating this.,George Floyd protests; Lafayette Square photo-op
2021-01-04,11770,0.437,0.28,0.157,3.729,hitler anarchy resigning condolences pray reconvene certify heartbroken sheltering yesterday’s,#sciencenotsilence #covid,0.19,0.07,Dem,Terri Sewell D-AL,"Pres. Trump’s efforts to “find” non-existent strikes at the very heart of our Constitution.   After four years of lies and corruption, I am not surprised, but I am outraged by Trump’s blatant disregard for his oath to up",JANUARY 6 Capitol attack
2021-05-17,7679,0.375,0.294,0.081,1.964,biphobia legislati cease-fire homophobia transphobia wade roe ceasefire shields tracking,#brownvboard #covidhatecrimesact #idahobit #taxday #standwithisrael,0.112,0.038,Dem,Marsha Blackburn,"The United States will stand by our friend and ally Israel. The level of denial and misinformation about what is happening in Israel, and why it is happening, is appalling. https://t.co/pmPIoL39DP",Israel–Gaza war / ceasefire; Equality Act
2022-02-21,10050,0.396,0.333,0.064,1.938,luhansk donetsk regions premeditated swift sovereign flagrant territorial soviet bloodshed,#equalityact #ukraine #standwithukraine #cancelstudentdebt,0.096,0.019,Dem,Steve Cohen D-TN,Trump Refers to Russian Aggression Toward Ukraine as ‘Genius’ - The New York Times. Trump and Putin are two of a kind except  no would ever think of Trump as a genius.Pathetic traitor! https://t.co/Wm3XVfXMwU,Russia invades Ukraine
2023-01-09,3895,0.424,0.345,0.08,2.54,born-alive garage born cheats raid babies audits alive stoves cheat,#commitmenttoamerica #verdict,0.12,0.023,Dem,Byron Donalds,".@JoeBiden don’t think for a second that I didn’t see your silly little border plan. What a joke  You opposed the border wall, remain in Mexico, Title 42 and even maligned our brave @CBP officers  A photo-op doesn’t chan",New GOP House: Born-Alive Act; Biden garage documents
2023-09-25,7910,0.418,0.34,0.078,2.327,wic nutrition menendez withheld furloughed paychecks shuts infants shutting short-term,#cancelstudentdebt #bidenbordercrisis #peopleoverpolitics,0.115,0.062,Dem,"Harder, Josh",TODAY is the deadline to protect our wildland firefighters’ paychecks from being cut.  Absolutely absurd that politicians won’t pay them what they deserve.,Shutdown deadline (averted); Menendez indicted
2024-04-15,8143,0.399,0.334,0.065,1.922,granholm articles iran's impeachment supplemental alejandro missiles mayorkas ukrainian iran’s,#taxday #americalast,0.047,0.08,Rep,"Sanders, Bernard",Listen to FTC Chair Lina Khan explain how the pharmaceutical industry is doing everything they can to charge Americans the highest prices possible for the drugs they need. Spoiler alert: Greed. Greed. Greed.,Iran strikes Israel; Mayorkas impeachment; Ukraine aid
2024-11-18,6452,0.355,0.283,0.072,1.899,ibarra gallant remembrance jose restrooms criswell warrants icc’s icc minister,#holdtheline,0.049,0.072,both,Anna Paulina Luna,"This is a smear campaign tied to a $25 million extortion scheme against @mattgaetz and his father.  This baseless smear campaign, frankly, is abhorrent that it's happening to someone like Matt Gaetz — who has done so muc",Laken Riley verdict; ICC warrants; Capitol restroom fight
2024-12-16,5782,0.401,0.316,0.084,2.125,pork shutdown holidays ceiling christmas pages shuts omnibus negotiated childhood,#holdtheline,0.074,0.06,both,Mike Lee,"There are few things I take more personally than what the four members of The Firm™️ tried to do yesterday—jam the American people with a swampy, expensive mess of a spending bill at the last possible minute before Chris","CR collapses, near-shutdown (Dec 20)"
2025-09-29,9700,0.585,0.443,0.142,3.358,midnight logan federico undocumented salary avert wishlist shuts skipped withheld,#schumershutdown #republicanshutdown,0.094,0.164,Rep,Josh Hawley,Why is it so hard for airlines to NOT charge people different prices for the same seat and NOT hoard your personal data?  These Allegiant and Frontier CEOs are making gobs in profit all while treating their customers lik,GOVERNMENT SHUTDOWN begins (Oct 1) — angriest week on record
2025-10-20,8807,0.527,0.451,0.076,1.792,katherine demolishing clark mciver rallies ranchers ballroom beef main hosting,#republicanshutdown #schumershutdown,0.029,0.106,Rep,August Pfluger,"The #2 House Democrat made it crystal clear this week that Democrats are leveraging American families for their own political gain.   This is truly a despicable thing to say. Families are my priority in Congress, and I c",Shutdown wk 4; East Wing demolition; No Kings rallies
